tissue,level1,level2,level3,level4
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.122,Liver.Hepatoblasts.122
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.115,Liver.Lymphoid_cells.115
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.115,Liver.Megakaryocytes.115
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.122,Liver.Lymphoid_cells.122
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.122,Liver.Stellate_cells.122
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.115,Liver.Mesothelial_cells.115
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.122,Liver.Hematopoietic_stem_cells.122
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.115,Liver.Hematopoietic_stem_cells.115
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.122,Liver.Megakaryocytes.122
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.90,Liver.Hematopoietic_stem_cells.90
Liver,Vascular_endothelial_cells,Liver.Vascular_endothelial_cells,Vascular_endothelial_cells.90,Liver.Vascular_endothelial_cells.90
Liver,Erythroblasts,Liver.Erythroblasts,Erythroblasts.90,Liver.Erythroblasts.90
Liver,Erythroblasts,Liver.Erythroblasts,Erythroblasts.89,Liver.Erythroblasts.89
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.90,Liver.Megakaryocytes.90
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.90,Liver.Hepatoblasts.90
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.90,Liver.Stellate_cells.90
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.89,Liver.Stellate_cells.89
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.90,Liver.Lymphoid_cells.90
Liver,Myeloid_cells,Liver.Myeloid_cells,Myeloid_cells.90,Liver.Myeloid_cells.90
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.89,Liver.Hepatoblasts.89
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.90,Liver.Mesothelial_cells.90
Liver,Vascular_endothelial_cells,Liver.Vascular_endothelial_cells,Vascular_endothelial_cells.89,Liver.Vascular_endothelial_cells.89
Liver,Myeloid_cells,Liver.Myeloid_cells,Myeloid_cells.89,Liver.Myeloid_cells.89
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.89,Liver.Megakaryocytes.89
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.89,Liver.Lymphoid_cells.89
