tissue,level1,level2,level3,level4
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.89,Muscle.Lymphoid_cells.89
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.89,Muscle.Schwann_cells.89
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.89,Muscle.Lymphatic_endothelial_cells.89
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.94,Muscle.Myeloid_cells.94
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.94,Muscle.Schwann_cells.94
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.110,Muscle.Smooth_muscle_cells.110
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.110,Muscle.Skeletal_muscle_cells.110
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.110,Muscle.Satellite_cells.110
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.115,Muscle.Stromal_cells.115
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Muscle.Vascular_endothelial_cells.110
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.115,Muscle.Satellite_cells.115
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.115,Muscle.Vascular_endothelial_cells.115
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.115,Muscle.Skeletal_muscle_cells.115
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.110,Muscle.Stromal_cells.110
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.110,Muscle.Myeloid_cells.110
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.115,Muscle.Schwann_cells.115
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.115,Muscle.Erythroblasts.115
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.115,Muscle.Myeloid_cells.115
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.115,Muscle.Smooth_muscle_cells.115
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.110,Muscle.Schwann_cells.110
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.110,Muscle.Erythroblasts.110
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.115,Muscle.Lymphoid_cells.115
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.110,Muscle.Lymphatic_endothelial_cells.110
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.110,Muscle.Lymphoid_cells.110
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.115,Muscle.Lymphatic_endothelial_cells.115
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.110,Muscle.Megakaryocytes.110
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.115,Muscle.Megakaryocytes.115
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.89,Muscle.Megakaryocytes.89
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.89,Muscle.Erythroblasts.89
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.94,Muscle.Megakaryocytes.94
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.89,Muscle.Myeloid_cells.89
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.94,Muscle.Erythroblasts.94
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.94,Muscle.Lymphoid_cells.94
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.125,Muscle.Smooth_muscle_cells.125
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.125,Muscle.Vascular_endothelial_cells.125
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.125,Muscle.Stromal_cells.125
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.90,Muscle.Satellite_cells.90
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.90,Muscle.Stromal_cells.90
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.125,Muscle.Myeloid_cells.125
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.125,Muscle.Skeletal_muscle_cells.125
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.90,Muscle.Skeletal_muscle_cells.90
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.125,Muscle.Satellite_cells.125
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.90,Muscle.Lymphatic_endothelial_cells.90
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.125,Muscle.Lymphatic_endothelial_cells.125
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.90,Muscle.Smooth_muscle_cells.90
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.125,Muscle.Schwann_cells.125
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.90,Muscle.Vascular_endothelial_cells.90
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.90,Muscle.Myeloid_cells.90
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.125,Muscle.Megakaryocytes.125
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.90,Muscle.Schwann_cells.90
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.90,Muscle.Erythroblasts.90
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.90,Muscle.Lymphoid_cells.90
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.125,Muscle.Erythroblasts.125
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.125,Muscle.Lymphoid_cells.125
Pancreas,Ductal_cells,Pancreas.Ductal_cells,Ductal_cells.117,Pancreas.Ductal_cells.117
Pancreas,Lymphoid_cells,Pancreas.Lymphoid_cells,Lymphoid_cells.117,Pancreas.Lymphoid_cells.117
Pancreas,Smooth_muscle_cells,Pancreas.Smooth_muscle_cells,Smooth_muscle_cells.117,Pancreas.Smooth_muscle_cells.117
Pancreas,Erythroblasts,Pancreas.Erythroblasts,Erythroblasts.117,Pancreas.Erythroblasts.117
Pancreas,ENS_neurons,Pancreas.ENS_neurons,ENS_neurons.117,Pancreas.ENS_neurons.117
Pancreas,Islet_endocrine_cells,Pancreas.Islet_endocrine_cells,Islet_endocrine_cells.117,Pancreas.Islet_endocrine_cells.117
Pancreas,Myeloid_cells,Pancreas.Myeloid_cells,Myeloid_cells.117,Pancreas.Myeloid_cells.117
Pancreas,Stromal_cells,Pancreas.Stromal_cells,Stromal_cells.117,Pancreas.Stromal_cells.117
Pancreas,Vascular_endothelial_cells,Pancreas.Vascular_endothelial_cells,Vascular_endothelial_cells.117,Pancreas.Vascular_endothelial_cells.117
Pancreas,CCL19_CCL21_positive_cells,Pancreas.CCL19_CCL21_positive_cells,CCL19_CCL21_positive_cells.117,Pancreas.CCL19_CCL21_positive_cells.117
Pancreas,Acinar_cells,Pancreas.Acinar_cells,Acinar_cells.117,Pancreas.Acinar_cells.117
Pancreas,ENS_glia,Pancreas.ENS_glia,ENS_glia.117,Pancreas.ENS_glia.117
Pancreas,Mesothelial_cells,Pancreas.Mesothelial_cells,Mesothelial_cells.117,Pancreas.Mesothelial_cells.117
Pancreas,Lymphatic_endothelial_cells,Pancreas.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.117,Pancreas.Lymphatic_endothelial_cells.117
Pancreas,Vascular_endothelial_cells,Pancreas.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Pancreas.Vascular_endothelial_cells.110
Pancreas,Lymphoid_cells,Pancreas.Lymphoid_cells,Lymphoid_cells.110,Pancreas.Lymphoid_cells.110
Pancreas,Ductal_cells,Pancreas.Ductal_cells,Ductal_cells.110,Pancreas.Ductal_cells.110
Pancreas,Acinar_cells,Pancreas.Acinar_cells,Acinar_cells.110,Pancreas.Acinar_cells.110
Pancreas,Smooth_muscle_cells,Pancreas.Smooth_muscle_cells,Smooth_muscle_cells.110,Pancreas.Smooth_muscle_cells.110
Pancreas,Stromal_cells,Pancreas.Stromal_cells,Stromal_cells.110,Pancreas.Stromal_cells.110
Pancreas,Islet_endocrine_cells,Pancreas.Islet_endocrine_cells,Islet_endocrine_cells.110,Pancreas.Islet_endocrine_cells.110
Pancreas,CCL19_CCL21_positive_cells,Pancreas.CCL19_CCL21_positive_cells,CCL19_CCL21_positive_cells.110,Pancreas.CCL19_CCL21_positive_cells.110
Pancreas,Myeloid_cells,Pancreas.Myeloid_cells,Myeloid_cells.110,Pancreas.Myeloid_cells.110
Pancreas,Erythroblasts,Pancreas.Erythroblasts,Erythroblasts.110,Pancreas.Erythroblasts.110
Pancreas,Lymphatic_endothelial_cells,Pancreas.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.110,Pancreas.Lymphatic_endothelial_cells.110
Pancreas,ENS_glia,Pancreas.ENS_glia,ENS_glia.110,Pancreas.ENS_glia.110
Pancreas,ENS_neurons,Pancreas.ENS_neurons,ENS_neurons.110,Pancreas.ENS_neurons.110
Pancreas,Mesothelial_cells,Pancreas.Mesothelial_cells,Mesothelial_cells.110,Pancreas.Mesothelial_cells.110
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.122,Placenta.IGFBP1_DKK1_positive_cells.122
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.113,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.113
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.113,Placenta.Extravillous_trophoblasts.113
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.115,Placenta.AFP_ALB_positive_cells.115
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.115,Placenta.Extravillous_trophoblasts.115
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.122,Placenta.Trophoblast_giant_cells.122
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.122,Placenta.Extravillous_trophoblasts.122
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.113,Placenta.Vascular_endothelial_cells.113
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.113,Placenta.Stromal_cells.113
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.122,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.122
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.113,Placenta.PAEP_MECOM_positive_cells.113
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.122,Placenta.Stromal_cells.122
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.113,Placenta.Lymphoid_cells.113
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.122,Placenta.Vascular_endothelial_cells.122
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.122,Placenta.PAEP_MECOM_positive_cells.122
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.115,Placenta.IGFBP1_DKK1_positive_cells.115
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.113,Placenta.Myeloid_cells.113
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.113,Placenta.Smooth_muscle_cells.113
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.113,Placenta.IGFBP1_DKK1_positive_cells.113
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.115,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.115
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.122,Placenta.Megakaryocytes.122
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.89,Placenta.AFP_ALB_positive_cells.89
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.89,Placenta.Stromal_cells.89
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.89,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.89
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.122,Placenta.Smooth_muscle_cells.122
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.89,Placenta.Smooth_muscle_cells.89
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.122,Placenta.Myeloid_cells.122
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.89,Placenta.Vascular_endothelial_cells.89
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.89,Placenta.Myeloid_cells.89
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.89,Placenta.Extravillous_trophoblasts.89
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.120,Placenta.IGFBP1_DKK1_positive_cells.120
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.110,Placenta.Stromal_cells.110
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.120,Placenta.Stromal_cells.120
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Placenta.Vascular_endothelial_cells.110
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.120,Placenta.Vascular_endothelial_cells.120
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.110,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.110
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.120,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.120
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.120,Placenta.Smooth_muscle_cells.120
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.120,Placenta.Lymphoid_cells.120
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.120,Placenta.Extravillous_trophoblasts.120
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.120,Placenta.Myeloid_cells.120
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.110,Placenta.Smooth_muscle_cells.110
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.120,Placenta.PAEP_MECOM_positive_cells.120
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.110,Placenta.Trophoblast_giant_cells.110
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.110,Placenta.Lymphoid_cells.110
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.110,Placenta.Extravillous_trophoblasts.110
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.120,Placenta.Megakaryocytes.120
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.110,Placenta.AFP_ALB_positive_cells.110
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.110,Placenta.Myeloid_cells.110
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.110,Placenta.Megakaryocytes.110
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.110,Placenta.IGFBP1_DKK1_positive_cells.110
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.110,Placenta.PAEP_MECOM_positive_cells.110
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.120,Placenta.AFP_ALB_positive_cells.120
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.89,Placenta.PAEP_MECOM_positive_cells.89
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.89,Placenta.Trophoblast_giant_cells.89
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.89,Placenta.Megakaryocytes.89
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.122,Placenta.Lymphoid_cells.122
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.122,Placenta.AFP_ALB_positive_cells.122
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.94,Placenta.Myeloid_cells.94
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.94,Placenta.Stromal_cells.94
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.94,Placenta.Extravillous_trophoblasts.94
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.94,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.94
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.94,Placenta.Smooth_muscle_cells.94
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.94,Placenta.Vascular_endothelial_cells.94
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.94,Placenta.Trophoblast_giant_cells.94
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.94,Placenta.IGFBP1_DKK1_positive_cells.94
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.94,Placenta.Lymphoid_cells.94
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.94,Placenta.PAEP_MECOM_positive_cells.94
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.94,Placenta.Megakaryocytes.94
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.94,Placenta.AFP_ALB_positive_cells.94
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.90,Placenta.Stromal_cells.90
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.90,Placenta.Vascular_endothelial_cells.90
Placenta,Vascular_endothelial_cells,Placenta.Vascular_endothelial_cells,Vascular_endothelial_cells.115,Placenta.Vascular_endothelial_cells.115
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.90,Placenta.Smooth_muscle_cells.90
Placenta,Stromal_cells,Placenta.Stromal_cells,Stromal_cells.115,Placenta.Stromal_cells.115
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.115,Placenta.Trophoblast_giant_cells.115
Placenta,IGFBP1_DKK1_positive_cells,Placenta.IGFBP1_DKK1_positive_cells,IGFBP1_DKK1_positive_cells.90,Placenta.IGFBP1_DKK1_positive_cells.90
Placenta,Syncytiotrophoblasts_and_villous_cytotrophoblasts,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts,Syncytiotrophoblasts_and_villous_cytotrophoblasts.90,Placenta.Syncytiotrophoblasts_and_villous_cytotrophoblasts.90
Placenta,Extravillous_trophoblasts,Placenta.Extravillous_trophoblasts,Extravillous_trophoblasts.90,Placenta.Extravillous_trophoblasts.90
Placenta,PAEP_MECOM_positive_cells,Placenta.PAEP_MECOM_positive_cells,PAEP_MECOM_positive_cells.90,Placenta.PAEP_MECOM_positive_cells.90
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.90,Placenta.Myeloid_cells.90
Placenta,Myeloid_cells,Placenta.Myeloid_cells,Myeloid_cells.115,Placenta.Myeloid_cells.115
Placenta,Megakaryocytes,Placenta.Megakaryocytes,Megakaryocytes.90,Placenta.Megakaryocytes.90
Placenta,Lymphoid_cells,Placenta.Lymphoid_cells,Lymphoid_cells.90,Placenta.Lymphoid_cells.90
Placenta,Smooth_muscle_cells,Placenta.Smooth_muscle_cells,Smooth_muscle_cells.115,Placenta.Smooth_muscle_cells.115
Placenta,Trophoblast_giant_cells,Placenta.Trophoblast_giant_cells,Trophoblast_giant_cells.90,Placenta.Trophoblast_giant_cells.90
Placenta,AFP_ALB_positive_cells,Placenta.AFP_ALB_positive_cells,AFP_ALB_positive_cells.90,Placenta.AFP_ALB_positive_cells.90
Spleen,Vascular_endothelial_cells,Spleen.Vascular_endothelial_cells,Vascular_endothelial_cells.113,Spleen.Vascular_endothelial_cells.113
Spleen,Stromal_cells,Spleen.Stromal_cells,Stromal_cells.113,Spleen.Stromal_cells.113
Spleen,STC2_TLX1_positive_cells,Spleen.STC2_TLX1_positive_cells,STC2_TLX1_positive_cells.113,Spleen.STC2_TLX1_positive_cells.113
Spleen,STC2_TLX1_positive_cells,Spleen.STC2_TLX1_positive_cells,STC2_TLX1_positive_cells.122,Spleen.STC2_TLX1_positive_cells.122
Spleen,Myeloid_cells,Spleen.Myeloid_cells,Myeloid_cells.122,Spleen.Myeloid_cells.122
Spleen,Erythroblasts,Spleen.Erythroblasts,Erythroblasts.113,Spleen.Erythroblasts.113
Spleen,Lymphoid_cells,Spleen.Lymphoid_cells,Lymphoid_cells.113,Spleen.Lymphoid_cells.113
Spleen,Lymphoid_cells,Spleen.Lymphoid_cells,Lymphoid_cells.122,Spleen.Lymphoid_cells.122
Spleen,Myeloid_cells,Spleen.Myeloid_cells,Myeloid_cells.113,Spleen.Myeloid_cells.113
Spleen,Vascular_endothelial_cells,Spleen.Vascular_endothelial_cells,Vascular_endothelial_cells.122,Spleen.Vascular_endothelial_cells.122
Spleen,AFP_ALB_positive_cells,Spleen.AFP_ALB_positive_cells,AFP_ALB_positive_cells.122,Spleen.AFP_ALB_positive_cells.122
Spleen,Mesothelial_cells,Spleen.Mesothelial_cells,Mesothelial_cells.122,Spleen.Mesothelial_cells.122
Spleen,Erythroblasts,Spleen.Erythroblasts,Erythroblasts.122,Spleen.Erythroblasts.122
Spleen,Mesothelial_cells,Spleen.Mesothelial_cells,Mesothelial_cells.113,Spleen.Mesothelial_cells.113
Spleen,Megakaryocytes,Spleen.Megakaryocytes,Megakaryocytes.113,Spleen.Megakaryocytes.113
Spleen,Megakaryocytes,Spleen.Megakaryocytes,Megakaryocytes.122,Spleen.Megakaryocytes.122
Spleen,Stromal_cells,Spleen.Stromal_cells,Stromal_cells.122,Spleen.Stromal_cells.122
Spleen,Mesothelial_cells,Spleen.Mesothelial_cells,Mesothelial_cells.117,Spleen.Mesothelial_cells.117
Spleen,STC2_TLX1_positive_cells,Spleen.STC2_TLX1_positive_cells,STC2_TLX1_positive_cells.117,Spleen.STC2_TLX1_positive_cells.117
Spleen,Vascular_endothelial_cells,Spleen.Vascular_endothelial_cells,Vascular_endothelial_cells.117,Spleen.Vascular_endothelial_cells.117
Spleen,Stromal_cells,Spleen.Stromal_cells,Stromal_cells.117,Spleen.Stromal_cells.117
Spleen,Myeloid_cells,Spleen.Myeloid_cells,Myeloid_cells.117,Spleen.Myeloid_cells.117
Spleen,Lymphoid_cells,Spleen.Lymphoid_cells,Lymphoid_cells.117,Spleen.Lymphoid_cells.117
Spleen,AFP_ALB_positive_cells,Spleen.AFP_ALB_positive_cells,AFP_ALB_positive_cells.117,Spleen.AFP_ALB_positive_cells.117
Spleen,Megakaryocytes,Spleen.Megakaryocytes,Megakaryocytes.117,Spleen.Megakaryocytes.117
Spleen,Vascular_endothelial_cells,Spleen.Vascular_endothelial_cells,Vascular_endothelial_cells.115,Spleen.Vascular_endothelial_cells.115
Spleen,STC2_TLX1_positive_cells,Spleen.STC2_TLX1_positive_cells,STC2_TLX1_positive_cells.115,Spleen.STC2_TLX1_positive_cells.115
Spleen,Stromal_cells,Spleen.Stromal_cells,Stromal_cells.110,Spleen.Stromal_cells.110
Spleen,Stromal_cells,Spleen.Stromal_cells,Stromal_cells.115,Spleen.Stromal_cells.115
Spleen,Lymphoid_cells,Spleen.Lymphoid_cells,Lymphoid_cells.115,Spleen.Lymphoid_cells.115
Spleen,STC2_TLX1_positive_cells,Spleen.STC2_TLX1_positive_cells,STC2_TLX1_positive_cells.110,Spleen.STC2_TLX1_positive_cells.110
Spleen,Vascular_endothelial_cells,Spleen.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Spleen.Vascular_endothelial_cells.110
Spleen,Erythroblasts,Spleen.Erythroblasts,Erythroblasts.110,Spleen.Erythroblasts.110
Spleen,Myeloid_cells,Spleen.Myeloid_cells,Myeloid_cells.115,Spleen.Myeloid_cells.115
Spleen,Mesothelial_cells,Spleen.Mesothelial_cells,Mesothelial_cells.110,Spleen.Mesothelial_cells.110
Spleen,Megakaryocytes,Spleen.Megakaryocytes,Megakaryocytes.115,Spleen.Megakaryocytes.115
Spleen,Myeloid_cells,Spleen.Myeloid_cells,Myeloid_cells.110,Spleen.Myeloid_cells.110
Spleen,Lymphoid_cells,Spleen.Lymphoid_cells,Lymphoid_cells.110,Spleen.Lymphoid_cells.110
Spleen,AFP_ALB_positive_cells,Spleen.AFP_ALB_positive_cells,AFP_ALB_positive_cells.115,Spleen.AFP_ALB_positive_cells.115
Spleen,Mesothelial_cells,Spleen.Mesothelial_cells,Mesothelial_cells.115,Spleen.Mesothelial_cells.115
Spleen,AFP_ALB_positive_cells,Spleen.AFP_ALB_positive_cells,AFP_ALB_positive_cells.110,Spleen.AFP_ALB_positive_cells.110
